,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total,PV_Power_W,PV_Investment_€
61,B4157,1711.3657865999999,1014.403446,999.9905949271246,445.2285074774285,696.9623405999998,0.40725503925415446,711.3751916728753,0.41567688056109664,1266.1372791225713,0.7398402428261863,1034.3674071,999.0272730399848,944.4998486553557,5275416.328113,2804327.871184995,15708.8,17279.680000000004
62,B3755,1616.1774638,973.1965176,952.7705378445037,426.869371746757,642.9809462,0.3978405593456339,663.4069259554963,0.41047901039015605,1189.308092053243,0.7358771661478992,901.4758164,874.4033840970494,826.677995917274,5275416.328113,2804327.871184995,14486.4,15935.040000000005
63,B2451,1693.9822303999997,1008.5504229000001,993.6066082566163,440.7517717232405,685.4318074999996,0.40462750741969045,700.3756221433835,0.4134492142683243,1253.230458676759,0.7398132260105432,971.5200590000001,939.867078355957,888.568647943031,5275416.328113,2804327.871184995,14862.4,16348.64
64,B2071,1648.0229914,973.5782310000002,960.8649408080701,427.45461910887286,674.4447603999997,0.40924475199648586,687.1580505919299,0.416959019490491,1220.5683722911272,0.7406258156958424,1010.1356032,975.480152351887,922.2379419723659,5275416.328113,2804327.871184995,15001.6,16501.760000000002
65,B2573,1470.5940193999998,888.4840401000001,864.9495405014546,390.41763407550474,582.1099792999996,0.39583322903591,605.6444788985451,0.4118366258184888,1080.176385324495,0.7345170530240599,782.1178452,755.6902848296684,714.4443189023704,5275416.328113,2804327.871184995,12206.4,13427.040000000005
66,B3848,875.7387117999999,643.7223603000001,528.4327507456387,256.33347340807927,232.01635149999981,0.26493787287661597,347.3059610543612,0.39658628352800107,619.4052383919206,0.7072945731938588,159.35831710000002,152.43877992369798,144.11859260760866,5275416.328113,2804327.871184995,2454.4,2699.84
67,B1234,2440.2343916,1424.8513106999999,1419.9802937226198,612.614232794278,1015.3830809000001,0.41610063541242,1020.2540978773802,0.4180967620935895,1827.620158805722,0.748952709254867,1793.4611028,1739.8615749094738,1644.8990318180188,5275416.328113,2804327.871184995,27430.4,30173.44
68,B4119,3913.4838935,2297.9939139,2292.824823825819,959.5284243748275,1615.4899796,0.41280097824938194,1620.659069674181,0.4141218192736076,2953.9554691251724,0.754814776172062,2822.5653621,2742.6778112572324,2592.981040207476,5275416.328113,2804327.871184995,43254.4,47579.84
69,B2199,1713.1852867999996,1015.9961805,1001.7688617179667,444.95755934629517,697.1891062999996,0.40695487620154347,711.4164250820329,0.41525947634704674,1268.2277274537046,0.7402747018815367,1017.9650395000001,982.0705557691308,928.4686377683107,5275416.328113,2804327.871184995,15587.2,17145.920000000002
70,B1659,1719.0696143999999,1028.7153999000002,1011.6421706946027,450.14023304514825,690.3542144999997,0.4015859559829119,707.4274437053972,0.4115176242890593,1268.9293813548516,0.7381489212103496,996.4752752999999,968.0135641361494,915.1788839966247,5275416.328113,2804327.871184995,16107.2,17717.920000000002
71,B4442,1676.0981295999998,990.8267958000001,977.9508559135747,435.4379562810394,685.2713337999996,0.40884917278891025,698.147273686425,0.41653126470169,1240.6601733189605,0.7402073610183215,1069.1542057000001,1034.7425224928822,978.265741352461,5275416.328113,2804327.871184995,15433.6,16976.96
72,B2055,1753.5218681,1037.5886763,1025.8787146606492,453.0910201233927,715.9331917999998,0.4082830130745604,727.6431534393507,0.414960980342821,1300.4308479766073,0.7416108527837568,1092.6963228,1058.4797310235108,1000.707360785389,5275416.328113,2804327.871184995,16651.199999999997,18316.32
73,B2644,2008.5279712999998,1174.6400031,1167.8981160024582,510.2002609035463,833.8879681999997,0.41517368944594485,840.6298552975416,0.4185303203686291,1498.3277103964535,0.7459829944148977,1380.1046938999998,1332.5899441095044,1259.8564969113718,5275416.328113,2804327.871184995,20596.8,22656.48
74,B1817,12817.132454799998,7942.1024556,7808.045858341548,3140.431254807454,4875.029999199997,0.3803526269539569,5009.086596458449,0.3908117992946662,9676.701199992543,0.7549817585265441,5937.805582999999,5814.6222564770815,5497.257171487509,5275416.328113,2804327.871184995,100496.0,110545.6
75,B3118,3034.0446026,1765.0678518,1762.245661708271,749.5287072477439,1268.9767508,0.41824591164960484,1271.798940891729,0.4191760858762166,2284.515895352256,0.7529605508747493,2430.2619928000004,2363.6306376944644,2234.6224570890486,5275416.328113,2804327.871184995,36763.2,40439.52000000001
76,B1183,11189.9840095,6644.2358205,6619.628560925408,2693.533730810795,4545.748189,0.4062336626344399,4570.355448574592,0.4084327059533312,8496.450278689204,0.7592906541667926,8915.1910934,8642.018389731556,8170.332563935484,5275416.328113,2804327.871184995,137969.59999999998,151766.56
77,B3547,1309.528835,818.0974863000001,780.1189087938584,357.1192877598861,491.43134869999994,0.37527340793530517,529.4099262061417,0.40427511946015426,952.409547240114,0.7272917722656439,568.4615901,553.9901411049281,523.7530731648218,5275416.328113,2804327.871184995,9678.4,10646.24
78,B3708,1465.9409491999997,881.6792462999999,859.6743094011101,387.6330906939868,584.2617028999998,0.39855746114387886,606.2666397988896,0.41356825466247077,1078.307858506013,0.7355738708946443,776.9009702999999,748.4224287421606,707.5731461526899,5275416.328113,2804327.871184995,11656.0,12821.6
79,B1572,1607.3854818,1057.2136524000002,985.1698531110578,436.2114469557714,550.1718293999998,0.34227746587825364,622.2156286889422,0.38709795237926736,1171.1740348442286,0.7286205133150212,577.2229051,570.3660488196379,539.2351753811829,5275416.328113,2804327.871184995,13560.0,14916.000000000002
80,B2665,3097.1022995,1792.9026072000001,1790.6039897154803,762.1797896230678,1304.1996922999997,0.42110320105039845,1306.4983097845195,0.4218453843114715,2334.922509876932,0.7539055168613207,2517.5261840000003,2438.476234551531,2305.382942625053,5275416.328113,2804327.871184995,37750.4,41525.44
81,B3744,2118.0096759999997,1235.9280365999998,1229.8737737286046,535.7749430439848,882.0816393999999,0.4164672378012309,888.135902271395,0.41932570579597067,1582.2347329560148,0.7470384818751956,1469.7939277,1422.162637626973,1344.5402665680942,5275416.328113,2804327.871184995,22075.2,24282.72
82,B1980,1290.3172303999997,787.7632815000001,758.1001020897378,347.43138773005296,502.5539488999997,0.38948092535678797,532.217128310262,0.4124699847224966,942.8858426699468,0.7307395580369419,639.2176873000001,614.1059615730278,580.5877411125108,5275416.328113,2804327.871184995,9369.6,10306.56
83,B2767,1641.4318543,972.2344266,958.1286262885512,426.5826119858942,669.1974276999999,0.4076912641526528,683.3032280114487,0.4162848589915103,1214.8492423141058,0.7401155516335381,995.1816523,958.8958309089641,906.5588013566867,5275416.328113,2804327.871184995,14888.0,16376.8
84,B1556,4214.391614499999,2432.6623152,2430.9146882893087,1018.4208606327263,1781.7292992999992,0.4227725997673773,1783.4769262106906,0.4231872804782724,3195.970753867273,0.7583468851995727,3777.9486271000005,3644.2308221076164,3445.3268222318734,5275416.328113,2804327.871184995,55292.8,60822.08
85,B2358,2090.6896288,1228.7307195,1220.7846645907032,531.4268246036161,861.9589092999997,0.41228449092883346,869.9049642092966,0.4160851769799035,1559.2628041963837,0.7458126652167683,1366.5241961000002,1324.5664045661529,1252.270886299045,5275416.328113,2804327.871184995,20899.2,22989.120000000003
