,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total
21,Bosm-w210107538,10036.097950700001,7489.7600364,7385.011755512251,3117.156209489182,2546.337914300001,0.2537179217269794,2651.0861951877505,0.26415507383552805,6918.94174121082,0.6894055613245819,6862.289756900001,6794.508344228583,6564.641095406377,333548.6808599,218628.7498363782
22,Bosm-w210481763,21111.6149136,12666.7580436,12560.326207274717,3287.010028754618,8444.856869999998,0.4000099899775958,8551.288706325282,0.4050513777047242,17824.60488484538,0.8443032405523301,15946.3533072,15900.678551397576,15362.73746017488,333548.6808599,218628.7498363782
23,Bosm-w210107549,11415.8948893,6857.354888100001,6789.072706122782,1810.7535659475432,4558.540001199999,0.39931516936728906,4626.822183177218,0.4052964947595909,9605.141323352456,0.8413831255888012,7851.001270999999,7796.085406803927,7532.3334746178125,333548.6808599,218628.7498363782
24,Bosm-w210497543,3748.9603289999995,2009.0649996000002,2008.2385325142654,658.4856198994362,1739.8953293999994,0.46410075773303805,1740.721796485734,0.46432121007534255,3090.4747091005634,0.8243551379283117,10056.923409800002,10178.678982945366,9834.320743038059,333548.6808599,218628.7498363782
25,Bosm-w210493837,17024.7336325,12489.083219699998,12388.11203914155,5064.6187976221,4535.6504128000015,0.2664153525516254,4636.62159335845,0.2723462048479395,11960.114834877899,0.7025140653035646,13897.508289399999,13734.61559992614,13269.955297570734,333548.6808599,218628.7498363782
26,Bosm-w210497560,3018.8509685999998,1608.344712,1607.5679803055248,540.7434670254484,1410.5062565999997,0.4672328217825624,1411.282988294475,0.467490115601487,2478.1075015745514,0.820877720480445,7880.2434015,7974.051391428186,7704.278633422605,333548.6808599,218628.7498363782
27,Bosm-w210493833,6798.2740747,4905.8646273,4883.406431957331,1878.8181267801554,1892.4094473999994,0.2783661597938017,1914.867642742669,0.281669674052847,4919.455947919844,0.7236330712566827,5524.4910133,5488.586499102603,5302.900322185461,333548.6808599,218628.7498363782
28,Bosm-w210497547,6426.8095109,4512.3342246,4504.461333804601,1737.9701190772444,1914.4752862999994,0.2978889109834375,1922.3481770953986,0.29911391863024056,4688.839391822756,0.72957497555675,8221.4996478,8185.951339434982,7909.009724522297,333548.6808599,218628.7498363782
29,Bosm-w210497551,5498.839397499999,2982.6613566,2981.4850255131146,955.243134849444,2516.178040899999,0.4575834751682251,2517.3543719868844,0.45779739868950864,4543.596262650555,0.8262827724549043,15300.1958014,15478.534492433713,14954.875095856825,333548.6808599,218628.7498363782
30,Bosm-w210493828,27313.1461115,22994.602749000005,21086.376391858208,11388.441348208273,4318.543362499993,0.15811226377475798,6226.76971964179,0.22797702228159117,15924.704763291726,0.5830417593887782,5955.3533647,5844.773955901349,5647.037483861846,333548.6808599,218628.7498363782
31,Bosm-w210493853,23912.299355,20194.963694100003,18450.25365070159,9924.981827434252,3717.3356608999966,0.15545705604102483,5462.045704298409,0.22841992830590377,13987.317527565747,0.5849423896845385,4814.6057071,4710.433815242575,4551.073577972628,333548.6808599,218628.7498363782
32,Bosm-w210497557,3706.3819031000003,1968.6954573000003,1968.0495593322698,666.4798977002054,1737.6864458,0.4688363183369224,1738.3323437677304,0.4690105847737378,3039.9020053997947,0.8201804576202023,9824.8265726,9874.362911077933,9540.300088391206,333548.6808599,218628.7498363782
33,Bosm-w210493844,7586.627070699999,5432.9380587000005,5418.495947973994,2050.8694382702924,2153.689011999999,0.2838796466373934,2168.1311227260057,0.28578327397948106,5535.757632429707,0.7296730919869686,6881.9600521,6797.453628726998,6567.486737015218,333548.6808599,218628.7498363782
34,Bosm-w210497555,3310.0061432,1772.7608763,1772.0653074833815,585.7839750403676,1537.2452669000002,0.4644236899856156,1537.9408357166187,0.46463383123204427,2724.2221681596325,0.8230263178683856,8940.8360617,9042.848889184275,8736.917291140482,333548.6808599,218628.7498363782
35,Bosm-w210493839,26365.9881385,21926.5541037,20266.65908976995,10935.540177262485,4439.4340348000005,0.16837730531773523,6099.329048730051,0.2313332243301635,15430.447961237516,0.5852406471618543,6135.1212753,5966.710948423652,5764.849185843507,333548.6808599,218628.7498363782
36,Bosm-w210497552,6344.3993224000005,3551.1893199000006,3537.948928581447,1104.8047508712855,2793.2100025,0.44026390215352434,2806.4503938185535,0.4423508438237635,5239.594571528715,0.8258614102409064,9541.2104602,9610.076380880075,9284.95472281035,333548.6808599,218628.7498363782
